reference_split,comparison_split,feature,channel,statistic,reference_mean,comparison_mean,standardized_mean_difference,population_stability_index,jensen_shannon_divergence,model_importance,importance_weighted_smd
train,test,b08_2018__std,b08_2018,std,0.00487750256434083,0.003897914895787835,0.2393743097782135,0.1547732609816954,0.0270766676614125,0.0410062797651381,0.009815849915352256
train,test,b02_2022__p90,b02_2022,p90,0.43894121050834656,0.4124819338321686,0.8880150318145752,0.9256190825898243,0.15717554684304114,0.0108220684695536,0.009610159476290151
train,test,b08_2018__median,b08_2018,median,0.11834561079740524,0.12407955527305603,2.6771621704101562,13.85710762837697,0.81261304826925,0.0035555653789621,0.009518825126977385
train,test,b04_2018__p25,b04_2018,p25,0.12923797965049744,0.1363542526960373,3.368623733520508,17.99364670597563,0.8448335218614524,0.0028054788866399,0.009450602761425857
train,test,b03_2022__median,b03_2022,median,0.8705686926841736,0.845579206943512,2.486729621887207,6.483832907806088,0.6513059133997066,0.003776838996037,0.009391977408543948
train,test,b02_2022__min,b02_2022,min,0.22533786296844482,0.26347196102142334,1.2981393337249756,2.290728270485481,0.31998549139386806,0.0072254377898841,0.009379624998431407
train,test,b03_2022__mean,b03_2022,mean,0.866864800453186,0.8415079712867737,2.167792558670044,5.030139763909014,0.6012595643779268,0.0040031203270633,0.008677934456468615
train,test,b04_2018__mean,b04_2018,mean,0.13401885330677032,0.13961204886436462,1.7301666736602783,12.37150898278535,0.6449089950007106,0.0049917154097516,0.008636499646348678
train,test,b02_2018__std,b02_2018,std,0.040909405797719955,0.035049572587013245,0.7212435603141785,1.2833271410256486,0.1689784097192884,0.0115374963776506,0.008321344964528656
train,test,b03_2022__p25,b03_2022,p25,0.8570337295532227,0.831510066986084,2.2054314613342285,5.1031059578313585,0.5984129719310248,0.0036140262707098,0.007970487239511806
train,test,ndvi_2018__mean,ndvi_2018,mean,0.03397175669670105,0.03740088641643524,1.1789718866348267,2.3785873689304857,0.25240958332555846,0.0064405849601428,0.007593268601491447
train,test,ndvi_2018__median,ndvi_2018,median,0.033942874521017075,0.03733068332076073,1.2107656002044678,2.475054076601061,0.26250289705983093,0.0061940873886523,0.007499587934840526
train,test,ndvi_2022__p75,ndvi_2022,p75,0.0207777488976717,0.023225942626595497,1.3578561544418335,5.87798120606575,0.37547930801826523,0.0054533063390389,0.007404805574520635
train,test,b04_2022__p75,b04_2022,p75,0.5445142984390259,0.51663738489151,1.4317315816879272,2.5041068273852742,0.3373158945789656,0.0051094484468299,0.007315358706332696
train,test,b03_2018__p75,b03_2018,p75,0.12165302783250809,0.12764401733875275,1.8270490169525146,19.546946910132142,0.7592395292642057,0.0039548568635307,0.00722571734470167
train,test,ndvi_2018__p75,ndvi_2018,p75,0.037646643817424774,0.040567368268966675,0.9765765070915222,4.971450649650052,0.2141852797410702,0.0072058705514366,0.007037083893675616
train,test,ndvi_2018__std,ndvi_2018,std,0.005797042511403561,0.005118797067552805,0.4858177602291107,1.3303895622640833,0.16766977879281703,0.0125567744158143,0.006100304022393103
train,test,b04_2018__median,b04_2018,median,0.13363288342952728,0.1393488049507141,2.1480367183685303,13.214534612741394,0.7136317287581412,0.0027816540011264,0.005975094932216244
train,test,ndvi_2018__p90,ndvi_2018,p90,0.04116128385066986,0.043706879019737244,0.6774653792381287,4.660565657810051,0.1842123263292121,0.0086303546731929,0.0058467665016341845
train,test,b02_2018__p90,b02_2018,p90,0.31739872694015503,0.2978757619857788,0.876155436038971,1.1536610852252183,0.1876233501775816,0.0066166582308347,0.005797221077357823
train,test,b02_2018__max,b02_2018,max,0.4007169306278229,0.372883141040802,0.6591008305549622,0.9066376754530926,0.1491644296650329,0.0083432569633203,0.005499047594057882
train,test,b08_2018__p75,b08_2018,p75,0.12111424654722214,0.12636058032512665,1.2320446968078613,12.566427703833634,0.7211686463014049,0.004354634473082,0.005365104309097374
train,test,b02_2018__p75,b02_2018,p75,0.2929248809814453,0.27621251344680786,0.929089367389679,1.1002483201555922,0.1818499848668453,0.0055964010281637,0.005199556690915561
train,test,b03_2018__p90,b03_2018,p90,0.12445659935474396,0.1298130601644516,0.9512221813201904,18.606054147470132,0.6445465242823921,0.0052694323246073,0.005012400910132078
train,test,b03_2022__p10,b03_2022,p10,0.8403503894805908,0.8133334517478943,1.214138388633728,3.4333480272280865,0.469423991872885,0.0041249146911384,0.005008217276350369
